Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
Number of sudokus,100
total runtime,175.327
average backtracks:,450
average splits:,460
--------------------------
givens,number of occurences,average runtime,average backtracks,average splits
21,1,2.5279998779296875,552,565
22,0,0,0,0
23,12,5.736083368460338,1533,1545
24,24,1.427916665871938,359,370
25,29,1.3296206655173466,333,343
26,25,0.836480016708374,208,218
27,5,1.822800064086914,465,474
28,3,0.05066665013631185,9,15
29,1,0.9590001106262207,228,244
--------------------------
variances,number of occurences,average runtime,average backtracks,average splits
0.1728395061728395,1,0.9819998741149902,244,253
0.2222222222222222,0,0,0,0
0.2469135802469136,0,0,0,0
0.3209876543209877,1,0.2709999084472656,64,73
0.3950617283950617,3,0.16466657320658365,35,45
0.39506172839506176,0,0,0,0
0.4444444444444444,1,4.059999942779541,1047,1058
0.4691358024691357,1,0.3970000743865967,94,104
0.46913580246913583,1,0.9519999027252197,230,242
0.54320987654321,3,0.3426666259765625,88,94
0.6172839506172839,2,3.1570000648498535,799,811
0.617283950617284,1,0.23600006103515625,55,66
0.6666666666666666,2,2.2179999351501465,573,585
0.691358024691358,5,12.540000057220459,3388,3403
0.7654320987654322,3,1.1530001163482666,309,316
0.8395061728395061,5,0.8765999794006347,227,237
0.8888888888888888,7,1.1101428440638952,276,286
0.9135802469135802,3,1.1830000082651775,280,292
0.9876543209876544,4,0.5485000014305115,137,149
1.0617283950617284,2,0.19900000095367432,48,55
1.0617283950617287,1,2.7920000553131104,655,667
1.1111111111111112,5,1.2661999702453612,313,326
1.1111111111111114,1,0.36500000953674316,93,102
1.1358024691358024,1,1.0260000228881836,235,246
1.2098765432098766,7,0.783428566796439,191,203
1.2839506172839505,4,1.0530000925064087,268,281
1.2839506172839508,0,0,0,0
1.3333333333333333,7,0.9982857704162598,250,261
1.3580246913580245,0,0,0,0
1.432098765432099,3,0.6260000069936117,159,165
1.5061728395061729,2,1.2584998607635498,310,322
1.506172839506173,1,0.5849997997283936,135,145
1.5555555555555556,3,2.312999963760376,549,559
1.5802469135802468,1,0.2090001106262207,52,60
1.654320987654321,4,0.23450005054473877,56,65
1.7283950617283952,4,3.7492499947547913,946,957
1.7777777777777777,1,1.8370001316070557,463,475
1.8024691358024691,0,0,0,0
1.8765432098765429,0,0,0,0
1.8765432098765433,2,1.437999963760376,340,351
1.9506172839506175,2,0.49599993228912354,118,130
2.0,1,0.5039999485015869,111,125
2.0000000000000004,0,0,0,0
2.0246913580246915,0,0,0,0
2.0987654320987654,0,0,0,0
2.17283950617284,0,0,0,0
2.2222222222222223,2,3.3405001163482666,864,877
2.3209876543209873,0,0,0,0
2.3209876543209877,1,2.936000108718872,712,723
2.3950617283950617,1,0.2049999237060547,49,58
2.4444444444444446,0,0,0,0
2.5432098765432096,0,0,0,0
2.617283950617284,1,0.41100001335144043,97,106
2.6666666666666665,0,0,0,0
2.691358024691358,0,0,0,0
2.765432098765432,0,0,0,0
2.8395061728395063,0,0,0,0
2.888888888888889,0,0,0,0
--------------------------
